ChildUtterance.ordinal,ChildUtterance.onset,ChildUtterance.offset,ChildUtterance.utterance,ParentUtterance.ordinal,ParentUtterance.onset,ParentUtterance.offset,ParentUtterance.utterance,ParentUtterance.target,ParentUtterance.selection,
0,13396,0,"That one?",0,3434,0,"How about that green one?","artichoke","",
1,26690,0,"It's gross?",1,6436,0,"","","selects",
2,78404,0,"And that one?",2,10506,0,"Oh, the apple again!","apple","",
3,86428,0,"Www?",3,12444,0,"","","selects",
4,101354,0,"It's roaring",4,17306,0,"Um, the green one","artichoke","",
5,111146,0,"What's a raccoon?",5,19881,0,"","","selects",
6,127815,0,"Let's do... Let's do... Let's do dots",6,21726,0,"That's called an artichoke. That's not a vegetable that we eat.","n/a","",
7,142256,0,"Let's look for it again!",7,27370,0,"","","",
8,145928,0,"Let's look for it again!",8,28582,0,"It's not gross I just don't really know how to cook them","n/a","",
9,149226,0,"I'm looking for the dots",9,30838,0,"OK I'm gonna describe the animal that you're gonna touch","n/a","",
10,152422,0,"Yeah",10,34442,0,"OK, touch the dog","dog","",
11,188870,0,"Where's donkey?",11,37044,0,"","","selects",
12,216614,0,"I want to do dots again",12,41004,0,"Do you know which one's the peacock?","peacock","",
13,223482,0,"That one?",13,43494,0,"","","selects",
14,228412,0,"I wanna do the dots",14,44370,0,"Nice!","n/a","",
15,238884,0,"I'm, I'm just... I'm just... I'm just... I'm",15,47634,0,"How 'bout the horse?","horse","",
16,254014,0,"Mm-mm",16,49472,0,"","","selects",
17,257006,0,"Mm-hm",17,53380,0,"Do you know which one's the leopard?","leopard","",
18,275468,0,"Www",18,57528,0,"","","selects",
,,,,19,58650,0,"That is the leopard!","n/a","",
,,,,20,60815,0,"You know a lot of animals!","n/a","",
,,,,21,62050,0,"Can you touch the cow?","cow","",
,,,,22,63852,0,"","","selects",
,,,,23,68136,0,"Can you touch the rhino?","rhinoceros","",
,,,,24,70958,0,"","","selects",
,,,,25,75718,0,"And the bird","bird","",
,,,,26,77248,0,"","","selects",
,,,,27,79424,0,"You wanna touch the cat too, I know","n/a","",
